elapsed time,alminium bar,iron bar,copper bar
0,29.0,30.0,29.7
30,30.5,29.3,30.5
60,33.7,29.1,30.5
90,36.4,29.0,33.2
120,38.2,28.8,33.7
150,39.9,29.4,34.9
180,40.7,29.9,35.8
210,41.3,30.0,35.9
240,41.7,30.4,36.3
270,42.0,30.7,36.8
300,42.0,30.8,36.9
330,42.0,31.0,36.8
360,42.3,31.0,37.1
390,43.1,31.6,37.1
420,42.6,31.5,36.7
