elapsed time,black metal,white metal
0,32.8,33.5
30,35.1,33.9
60,36.1,34.9
90,37.0,35.6
120,39.6,37.0
150,40.0,37.2
180,40.4,37.0
210,40.7,37.0
240,40.5,37.3
270,41.8,38.9
300,43.3,39.2
330,44.1,39.9
360,44.3,40.0
390,44.7,40.4
420,45.4,40.4
450,46.0,40.2
480,46.3,41.4
510,46.5,41.5
540,47.6,41.9
570,48.5,42.3
600,48.9,42.3
630,48.2,41.8
