elapsed time,alminium bar,iron bar,copper bar
0,28.2,28.6,28.8
30,28.3,28.4,29.0
60,28.8,28.3,30.0
90,29.6,28.0,31.3
120,30.4,28.0,32.2
150,30.4,28.0,32.4
180,30.5,28.0,32.8
210,30.5,27.8,33.7
240,30.8,27.9,33.6
270,30.9,28.0,33.9
300,31.0,28.2,34.1
330,30.7,28.1,33.9
360,31.0,28.1,34.6
390,31.6,28.3,35.0
420,32.0,28.4,35.3
450,32.1,28.5,35.2
480,32.4,28.4,35.7
510,32.3,28.5,36.0
540,32.4,28.5,36.2
570,32.4,28.4,36.2
600,32.7,28.7,36.6
630,32.6,28.4,36.1
